1.7449,1.7302,1.7498,1.7107,1.6862,1.6569
1.7449,1.7058,1.7351,1.7107,1.7058,1.6667
1.74,1.7644,1.7742,1.7058,1.6325,1.6813
1.7155,1.7107,1.7351,1.7107,1.6471,1.7155
1.7155,1.7107,1.7595,1.7058,1.6422,1.6422
1.784,1.7449,1.7498,1.7155,1.6764,1.6813
1.6471,1.7351,1.7253,1.7058,1.6862,1.6667
1.7644,1.7009,1.7351,1.7155,1.6471,1.6813
1.7253,1.7302,1.7449,1.696,1.6422,1.6911
1.7058,1.7693,1.7644,1.6911,1.6373,1.7302
1.7155,1.7595,1.7302,1.7302,1.6716,1.6813
1.7351,1.7937,1.7155,1.696,1.6667,1.6569
1.7058,1.8035,1.7498,1.7302,1.6569,1.696
1.7498,1.7155,1.7498,1.7107,1.6716,1.6716
1.7253,1.7644,1.7204,1.7253,1.7058,1.6813
1.7498,1.74,1.7644,1.7155,1.6764,1.6911
1.7449,1.7107,1.74,1.7009,1.6618,1.7058
1.7107,1.7302,1.7302,1.6862,1.6716,1.7204
1.7302,1.7204,1.7155,1.696,1.6667,1.6862
1.7449,1.7155,1.696,1.7058,1.6667,1.7107
1.7449,1.7302,1.7742,1.6813,1.6764,1.6862
1.7693,1.7204,1.7351,1.7107,1.6618,1.6911
1.7204,1.7498,1.7155,1.7155,1.6716,1.6911
1.7009,1.7155,1.7302,1.6911,1.6618,1.6813
1.7595,1.7058,1.7253,1.7155,1.6862,1.6618
1.7693,1.7351,1.7302,1.7058,1.6618,1.6569
1.74,1.7302,1.7253,1.6862,1.6178,1.6618
1.7644,1.7204,1.7107,1.7107,1.6764,1.6471
1.7937,1.7204,1.7302,1.7009,1.6667,1.6325
1.784,1.7302,1.7449,1.6911,1.7009,1.6569
1.7791,1.8084,1.7693,1.7107,1.652,1.7155
1.7791,1.7253,1.74,1.7107,1.6471,1.6813
1.7644,1.7742,1.7351,1.696,1.6422,1.696
1.8231,1.8133,1.7204,1.6862,1.6813,1.6422
1.7889,1.7498,1.7351,1.7155,1.6373,1.6911
1.8475,1.6813,1.7302,1.7107,1.6373,1.6667
1.7791,1.7155,1.7693,1.7009,1.6667,1.7107
1.828,1.7595,1.7449,1.696,1.6716,1.6911
1.8622,1.7693,1.7742,1.7009,1.6569,1.7351
1.8377,1.74,1.7791,1.7302,1.6422,1.6862
1.8524,1.6422,1.7449,1.7204,1.6471,1.6862
1.8768,1.7498,1.784,1.6862,1.6471,1.6862
1.8817,1.7253,1.7155,1.7351,1.6569,1.6667
1.911,1.7058,1.7498,1.7155,1.6764,1.6911
1.8671,1.8328,1.7449,1.7253,1.6716,1.6862
1.8964,1.7449,1.7253,1.7107,1.6667,1.6618
1.8964,1.784,1.7742,1.7058,1.7058,1.7351
1.9648,1.74,1.7498,1.7155,1.6862,1.7253
1.9453,1.7791,1.7204,1.7058,1.7155,1.6618
1.9501,1.7253,1.7546,1.696,1.6667,1.6764
1.911,1.8035,1.7449,1.7155,1.6764,1.6911
1.8964,1.7351,1.7302,1.7155,1.6373,1.6716
1.9306,1.7449,1.7498,1.7155,1.6911,1.7351
1.9501,1.7937,1.74,1.7302,1.6764,1.7009
1.9159,1.7595,1.7742,1.7155,1.6227,1.696
1.9746,1.8524,1.6618,1.7155,1.6471,1.696
1.911,1.7742,1.7595,1.7204,1.608,1.7107
1.9746,1.8084,1.7644,1.7351,1.6471,1.6813
